login cm13558 65195
name Callum Mann
algorithm Advanced GA
cost 6016.00516118
1->3->171->126->65->1, cost = 77.1978492909, demand = 314
1->164->158->44->243->57->39->123->224->63->1, cost = 122.31927137, demand = 468
1->83->226->242->12->132->225->1, cost = 102.159929582, demand = 402
1->4->7->244->17->85->136->147->70->1, cost = 148.038656012, demand = 448
1->74->208->100->20->186->73->199->1, cost = 132.058631429, demand = 413
1->194->102->204->58->239->43->195->198->11->250->215->236->1, cost = 173.846516469, demand = 462
1->196->59->184->151->221->37->249->28->1, cost = 128.150692232, demand = 446
1->191->216->105->142->26->9->1, cost = 155.851467952, demand = 391
1->19->138->125->229->54->66->207->84->218->1, cost = 177.857864258, demand = 429
1->231->190->107->122->90->168->154->10->27->115->1, cost = 181.069153349, demand = 492
1->178->103->220->76->163->60->172->182->170->1, cost = 166.67596472, demand = 493
1->192->174->6->91->62->222->130->131->50->13->31->55->1, cost = 198.156194491, demand = 489
1->176->24->41->18->56->48->169->104->114->81->14->1, cost = 298.29264585, demand = 478
1->68->52->159->135->150->202->79->33->227->137->234->1, cost = 281.807841161, demand = 497
1->200->38->45->23->25->121->237->223->86->16->53->1, cost = 252.379088166, demand = 500
1->40->177->30->228->160->148->246->128->67->1, cost = 352.860691958, demand = 497
1->113->173->165->8->161->153->181->217->64->209->247->1, cost = 278.734953569, demand = 488
1->80->34->235->69->143->233->245->210->101->214->1, cost = 270.555493323, demand = 494
1->22->139->146->116->5->82->187->1, cost = 222.578516891, demand = 473
1->141->29->183->96->35->189->88->155->77->109->97->1, cost = 320.70799876, demand = 495
1->179->211->42->111->61->110->21->98->133->238->1, cost = 279.4368946, demand = 494
1->129->144->15->108->241->118->93->175->106->1, cost = 313.225748447, demand = 460
1->119->180->162->188->46->197->49->112->166->1, cost = 282.420626256, demand = 492
1->117->201->94->78->89->99->248->87->152->95->51->92->47->127->124->1, cost = 369.070794735, demand = 494
1->167->71->156->149->232->203->140->2->230->72->32->206->212->134->205->1, cost = 347.783835901, demand = 499
1->213->145->193->185->219->120->240->36->157->75->1, cost = 382.767840411, demand = 498
